"Seat","Num","Justice","Clerk","Started","Finished","School","Previous.Clerkship"
"CJ","43","Waite, M","","0","0","",""
"CJ","50","Fuller, M","Fitnam, T. H.","1888","1889","",""
"CJ","50","Fuller, M","Harlan, James S.","1888","1889","","none"
"CJ","50","Fuller, M","York, Clarence M.","1889","1896","","none"
"CJ","50","Fuller, M","York, Clarence M.","1897","1905","","S. Field"
"CJ","50","Fuller, M","Day, Stephen Albion","1905","1907","","none"
"CJ","55","White, E","Byrne, John J.","1918","1921","",""
"CJ","69","Taft, W","Byrne, John J.","1921","1924","","E. White"
"CJ","69","Taft, W","Mischler, Wendell","1921","1930","",""
"CJ","69","Taft, W","Williams, C. Dickerman","1924","1925","Yale","none"
"CJ","69","Taft, W","Robertson, Reynolds","1929","1930","",""
"CJ","69","Taft, W","McElwain, Edwin","1938","1939","",""
"CJ","62","Hughes, C","Mischler, Wendell","1930","1930","","Taft"
"CJ","62","Hughes, C","Robertson, Reynolds","1930","1934","","Taft"
"CJ","73","Stone, H","Boskey, Bennett","1941","1943","Harvard","S. F. Reed"
"CJ","73","Stone, H","Nickerson, Eugene H.","1944","1946","Columbia","A. Hand"
"CJ","73","Stone, H","Prashker, Herbert","1945","1946","",""
"CJ","85","Vinson, F","Allen, Francis A.","1946","1948","Northwestern","none"
"CJ","85","Vinson, F","White, Byron","1946","1947","Yale","none"
"CJ","85","Vinson, F","Ebb, Lawrence F.","1947","1948","Harvard",""
"CJ","85","Vinson, F","Seder, Arthur R.","1947","1948","Northwestern","none"
"CJ","85","Vinson, F","Seder, Arthur R.","1948","1949","Northwestern","Vinson"
"CJ","85","Vinson, F","Trienens, Howard J.","1950","1951","Northwestern","none"
"CJ","85","Vinson, F","Minow, Newton N.","1951","1952","Northwestern","none"
"CJ","85","Vinson, F","Paul, James C.N.","1951","1952","Penn","none"
"CJ","85","Vinson, F","Trienens, Howard J.","1951","1952","Northwestern","Vinson"
"CJ","85","Vinson, F","Hawkins, Carl S.","1952","1953","Northwestern","none"
"CJ","85","Vinson, F","Oliver, William W.","1952","1953","Northwestern","none"
"CJ","85","Vinson, F","Paul, James C.N.","1952","1953","Penn","Vinson"
"CJ","85","Vinson, F","Pollock, Earl E.","1953","1953","Northwestern","none"
"CJ","88","Warren, E","Flynn, Richard J.","1953","1954","",""
"CJ","88","Warren, E","Oliver, William W.","1953","1954","Northwestern","Vinson"
"CJ","88","Warren, E","Pollock, Earl E.","1953","1955","Northwestern","Vinson"
"CJ","88","Warren, E","Gunther, Gerald","1954","1955","Harvard","L. Hand"
"CJ","88","Warren, E","Cohen, Jerome A.","1955","1956","Yale","none"
"CJ","88","Warren, E","Moody, Graham","1955","1956","",""
"CJ","88","Warren, E","Stern, Samuel A.","1955","1956","Harvard","Magruder"
