"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"1","[P](u)","    Yahoo Sites","Portals","194630.555","86.703","100","100","100","56232.434","32869.37","29781.345","3671968.298","8.951","18.866"
"","[M](u)","        Yahoo","Portals","194333.941","86.571","100","100","100","56133.247","32844.482","29720.155","3666283.561","8.959","18.866"
"","[C](U)","            Yahoo Homepages","Corporate Presence","102032.485","45.453","100","100","100","37926.234","2887.098","4511.489","2181895.098","1.323","21.384"
"","[S](U)","                Yahoo U.S. Homepages","Corporate Presence","100849.27","44.926","100","100","100","37455.898","2833.967","4426.251","2146113.456","1.321","21.28"
"","[G]","                    Yahoo U.S. Insider Homepage","Corporate Presence","3871.217","1.725","100","100","100","1081.219","48.801","46.348","42733.4","1.142","11.039"
"","[S](U)","                Yahoo U.K. Homepages","Corporate Presence","508.535","0.227","100","100","100","87.596","2.59","4.424","3324.821","0.779","6.538"
"","[G]","                    Yahoo Messenger UK & Ireland Insider","Corporate Presence","20.07","0.009","100","100","","","","","","",""
"","[S](U)","                Yahoo India Homepages","Corporate Presence","438.305","0.195","100","100","100","94.265","4.103","6.312","4303.356","0.953","9.818"
"","[S](U)","                Yahoo Canada Homepages","Corporate Presence","332.404","0.148","100","100","100","120.833","2.151","4.715","3960.164","0.543","11.914"
"","[S](U)","                Yahoo Taiwan Homepages","Corporate Presence","313.678","0.14","100","100","100","77.531","6.268","10.73","5462.474","1.147","17.414"
"","[S](U)","                Yahoo Spain Homepages","Corporate Presence","253.431","0.113","100","100","100","55.491","1.927","3.659","2306.504","0.836","9.101"
"","[G]","                    Yahoo Spain Messenger Insider","Corporate Presence","25.991","0.012","100","100","","","","","","",""
"","[S](U)","                Yahoo Philippines Homepages","Corporate Presence","231.555","0.103","100","100","100","54.458","1.739","3.003","2633.544","0.66","11.373"
"","[S](U)","                Yahoo France Homepages","Corporate Presence","228.758","0.102","100","100","100","77.568","3.727","4.928","3196.95","1.166","13.975"
"","[G]","                    Yahoo France Messenger Insider","Corporate Presence","0.167","0","100","100","","","","","","",""
"","[S](U)","                Yahoo Singapore Homepages","Corporate Presence","200.424","0.089","100","100","100","24.881","1.557","1.182","889.506","1.751","4.438"
"","[S](U)","                Yahoo Mexico Homepages","Corporate Presence","198.993","0.089","100","100","100","75.339","4.643","5.376","3519.363","1.319","17.686"
"","[S]","                Yahoo Japan Homepages","Corporate Presence","180.211","0.08","100","100","100","71.457","12.489","22.566","7448.235","1.677","41.331"
"","[S](U)","                Yahoo Hong Kong Homepages","Corporate Presence","152.099","0.068","100","100","100","31.192","4.235","6.619","2456.468","1.724","16.15"
"","[S](U)","                Yahoo Vietnam Homepages","Corporate Presence","61.815","0.028","100","100","100","14.318","1.28","1.759","1098.006","1.166","17.763"
"","[S]","                Yahoo China Homepages","Corporate Presence","32.708","0.015","100","100","","","","","","",""
"","[S]","                Yahoo Germany Homepages","Corporate Presence","29.637","0.013","100","100","","","","","","",""
"","[S]","                Yahoo Argentina Homepages","Corporate Presence","27.68","0.012","100","100","","","","","","",""
"","[S]","                Yahoo Maktoob Homepages","Corporate Presence","27.388","0.012","100","100","","","","","","",""
"","[S]","                Yahoo7 Homepages","Corporate Presence","21.329","0.01","100","100","","","","","","",""
