cyl,disp,hp,wt,accel,year,mpg
8,351,148,4657,13.5,75,14
4,140,88,2890,17.3,79,22.3
6,200,85,2965,15.8,78,20.2
4,120,87,2979,19.5,72,21
8,400,190,4422,12.5,72,13
4,120,88,2160,14.5,82,36
4,151,85,2855,17.6,78,23.8
6,232,100,2945,16,73,18
4,79,67,1950,19,74,31
8,340,160,3609,8,70,14
6,231,105,3425,16.9,77,20.5
4,85,65,2020,19.2,79,31.8
6,232,90,3265,18.2,79,20.2
8,400,175,4385,12,72,14
4,88,76,2065,14.5,71,30
8,305,130,3840,15.4,79,17
4,85,70,1945,16.8,77,33.5
4,119,97,2300,14.7,78,27.2
4,91,68,2025,18.2,82,37
4,101,83,2202,15.3,76,27
4,121,115,2795,15.7,78,21.6
4,122,86,2395,16,72,22
8,440,215,4735,11,73,13
6,199,90,2648,15,70,21
4,85,70,1990,17,76,32
4,121,110,2600,12.8,77,21.5
8,350,145,4055,12,76,13
8,350,165,3693,11.5,70,15
4,115,95,2694,15,75,23
6,155,107,2472,14,73,21
4,98,80,1915,14.4,79,35.7
8,318,150,3755,14,76,13
4,134,95,2515,14.8,78,21.1
4,122,86,2226,16.5,72,21
8,304,150,3672,11.5,72,17
4,120,88,3270,21.9,76,19
4,119,82,2720,19.4,82,31
4,90,75,2108,15.5,74,24
8,400,175,5140,12,71,13
4,78,52,1985,19.4,78,32.8
8,318,150,3940,13.2,76,13
4,97,71,1825,12.2,76,29.5
4,156,92,2585,14.5,82,26
8,351,158,4363,13,73,13
4,97,88,2130,14.5,70,27
4,130,102,3150,15.7,76,20
6,225,100,3630,17.7,77,19
4,91,67,1850,13.8,80,44.6
4,97,75,2265,18.2,77,26
6,225,100,3233,15.4,76,22
4,108,93,2391,15.5,74,26
8,305,145,3425,13.2,78,19.2
4,140,92,2865,16.4,82,24
4,107,75,2205,14.5,82,36
4,89,71,1925,14,79,31.9
8,400,230,4278,9.5,73,16
8,318,150,4457,13.5,74,14
4,112,85,2575,16.2,82,31
8,455,225,4425,10,70,14
8,400,180,4220,11.1,77,16
4,121,112,2868,15.5,73,19
8,350,165,4274,12,72,13
6,168,132,2910,11.4,80,32.7
4,97,75,2171,16,75,29
4,119,97,2545,17,75,24
6,250,100,3781,17,74,16
6,232,100,2901,16,74,19
4,97,78,2300,14.5,74,26
8,400,150,4464,12,73,13
8,400,150,3761,9.5,70,15
4,71,65,1773,19,71,31
8,351,149,4335,14.5,77,16
6,250,88,3302,15.5,71,19
4,107,86,2464,15.5,76,28
4,120,75,2542,17.5,80,31.3
5,183,77,3530,20.1,79,25.4
4,151,90,2556,13.2,79,33.5
4,121,80,2670,15,79,27.4
6,199,97,2774,15.5,70,18
4,98,80,2164,15,72,28
4,79,58,1755,16.9,81,39.1
4,140,72,2565,13.6,76,26.5
8,302,130,4295,14.9,77,15
6,232,100,2914,16,75,20
4,140,72,2408,19,71,22
4,98,83,2075,15.9,77,33.5
6,173,110,2725,12.6,81,23.5
4,97,52,2130,24.6,82,44
8,305,140,4215,13,76,17.5
6,250,100,3329,15.5,71,17
8,429,198,4341,10,70,15
4,105,74,2190,14.2,81,33
4,89,62,1845,15.3,80,29.8
4,121,115,2671,13.5,75,25
6,198,95,2904,16,73,23
6,232,100,2789,15,73,18
6,250,105,3897,18.5,75,16
8,318,150,4498,14.5,75,16
6,232,90,3085,17.6,76,22.5
4,105,63,2125,14.7,82,38
