secs,storenum,dayofweek
119,76,Tues
135,127,Mon
105,777,Thur
144,445,Mon
82,493,Thur
268,822,Tues
151,640,Mon
60,365,Fri
175,661,Wed
151,607,Mon
125,496,Tues
368,597,Mon
440,530,Fri
119,639,Tues
163,830,Fri
205,777,Fri
160,891,Thur
337,664,Thur
135,287,Tues
129,6,Mon
220,304,Thur
129,544,Mon
227,239,Wed
231,704,Mon
107,284,Tues
322,563,Wed
170,210,Mon
171,13,Fri
35,513,Fri
192,192,Tues
379,616,Tues
126,607,Fri
571,520,Tues
143,151,Fri
179,112,Fri
230,118,Wed
360,604,Fri
114,873,Wed
288,659,Fri
117,192,Wed
153,205,Fri
565,73,Wed
149,318,Fri
207,625,Mon
47,542,Wed
142,196,Fri
121,804,Tues
144,781,Fri
420,348,Mon
404,740,Mon
343,362,Wed
176,150,Tues
106,216,Fri
36,324,Mon
323,440,Fri
211,509,Thur
74,156,Mon
310,400,Thur
103,272,Mon
73,37,Mon
449,270,Tues
402,256,Wed
391,360,Thur
222,592,Thur
99,30,Tues
241,657,Wed
168,774,Tues
279,838,Tues
565,802,Thur
139,484,Fri
486,376,Tues
599,399,Wed
561,238,Thur
225,685,Mon
144,642,Wed
111,133,Mon
152,752,Wed
237,8,Wed
83,381,Mon
102,289,Thur
167,774,Wed
47,835,Thur
148,137,Tues
312,667,Thur
420,693,Fri
92,311,Fri
100,648,Fri
229,514,Wed
87,363,Thur
367,891,Wed
121,457,Fri
165,10,Wed
40,180,Wed
171,255,Tues
478,257,Tues
108,426,Wed
472,565,Thur
187,509,Fri
172,164,Fri
192,161,Wed
398,671,Mon
115,155,Tues
158,774,Tues
197,658,Wed
210,711,Thur
149,202,Fri
437,9,Wed
164,863,Wed
133,554,Tues
368,769,Mon
149,598,Thur
236,55,Tues
276,180,Wed
130,251,Thur
58,366,Fri
170,551,Tues
342,601,Fri
144,359,Tues
86,89,Tues
104,354,Thur
491,742,Tues
160,108,Fri
274,216,Fri
539,652,Tues
167,252,Thur
425,154,Fri
178,92,Thur
178,165,Wed
221,415,Mon
182,784,Thur
460,851,Tues
280,457,Mon
143,155,Thur
98,98,Mon
129,32,Thur
101,518,Tues
328,166,Thur
121,2,Fri
362,619,Wed
187,31,Thur
415,519,Fri
463,434,Thur
96,154,Wed
491,60,Fri
166,681,Mon
127,420,Mon
79,743,Fri
313,643,Fri
116,419,Fri
155,664,Thur
519,679,Thur
32,378,Wed
129,621,Mon
103,265,Wed
591,56,Thur
150,645,Fri
38,50,Fri
137,643,Thur
184,590,Wed
287,245,Thur
426,707,Tues
434,288,Fri
154,355,Tues
204,203,Tues
36,812,Mon
97,323,Thur
140,701,Thur
191,726,Wed
163,80,Thur
157,340,Mon
453,439,Fri
270,776,Thur
124,651,Thur
354,670,Mon
106,412,Fri
196,306,Wed
128,713,Tues
174,49,Mon
80,199,Wed
131,569,Thur
361,598,Thur
70,846,Fri
42,80,Thur
376,633,Tues
137,174,Wed
75,347,Wed
345,529,Mon
453,220,Mon
410,528,Thur
87,746,Mon
203,648,Mon
110,351,Fri
307,706,Tues
163,733,Thur
275,121,Thur
181,788,Mon
598,563,Thur
476,577,Wed
162,113,Fri
296,52,Fri
156,6,Fri
112,769,Wed
134,783,Fri
204,293,Mon
283,272,Mon
173,77,Thur
195,568,Wed
39,196,Fri
169,837,Tues
145,794,Mon
510,190,Wed
269,882,Fri
298,119,Mon
77,476,Thur
239,132,Thur
165,197,Wed
517,440,Tues
192,779,Thur
71,17,Thur
266,194,Tues
96,556,Wed
165,754,Fri
271,102,Fri
165,857,Fri
78,261,Mon
52,77,Fri
577,468,Tues
110,754,Wed
159,569,Thur
447,724,Fri
56,807,Tues
190,775,Fri
166,335,Thur
170,665,Fri
274,889,Fri
123,267,Mon
154,679,Thur
106,363,Tues
322,216,Wed
140,40,Tues
266,714,Tues
118,403,Thur
411,319,Wed
99,46,Fri
180,219,Fri
40,884,Thur
35,451,Tues
34,193,Fri
179,91,Fri
141,214,Wed
103,787,Tues
111,52,Fri
573,865,Tues
441,128,Tues
222,411,Mon
274,554,Wed
192,452,Wed
336,830,Thur
93,426,Fri
45,57,Thur
47,741,Thur
570,280,Tues
178,715,Tues
587,253,Wed
151,203,Fri
58,541,Mon
188,716,Fri
507,555,Wed
144,867,Fri
153,110,Tues
438,29,Thur
294,40,Thur
405,883,Fri
125,369,Fri
548,674,Wed
280,283,Thur
173,816,Wed
69,801,Tues
136,342,Wed
125,830,Tues
57,710,Tues
101,85,Mon
108,666,Fri
169,156,Mon
38,218,Mon
222,195,Thur
251,339,Tues
167,809,Tues
359,724,Fri
267,577,Mon
86,104,Thur
220,751,Mon
146,580,Mon
108,295,Wed
38,745,Thur
556,671,Fri
214,279,Tues
544,428,Tues
158,341,Thur
171,784,Wed
303,390,Thur
65,18,Tues
272,823,Fri
274,500,Wed
234,410,Mon
132,722,Fri
115,891,Thur
347,694,Fri
55,40,Wed
90,865,Thur
444,740,Wed
202,551,Mon
46,321,Mon
150,332,Tues
483,391,Tues
93,445,Mon
144,834,Wed
559,240,Fri
333,300,Wed
451,278,Mon
57,450,Thur
121,45,Fri
116,415,Tues
143,621,Thur
219,238,Wed
141,293,Fri
199,211,Wed
566,173,Mon
413,667,Fri
304,605,Thur
174,358,Fri
427,571,Thur
147,628,Wed
572,802,Fri
52,86,Wed
54,680,Wed
408,1,Wed
170,750,Fri
479,838,Tues
190,418,Thur
121,804,Tues
323,780,Wed
89,811,Thur
225,239,Tues
132,405,Mon
131,307,Tues
109,6,Tues
441,534,Mon
339,459,Mon
290,808,Fri
105,278,Tues
316,271,Thur
184,867,Mon
59,360,Mon
121,416,Fri
185,827,Mon
73,363,Tues
379,431,Wed
297,89,Mon
41,570,Mon
106,700,Wed
120,67,Wed
189,452,Tues
215,436,Wed
42,102,Thur
407,2,Tues
118,527,Tues
181,660,Tues
74,358,Fri
221,270,Mon
206,65,Mon
321,294,Wed
182,220,Thur
171,359,Mon
354,93,Tues
152,102,Fri
52,625,Thur
232,129,Wed
195,709,Wed
445,453,Thur
103,852,Mon
136,803,Tues
161,834,Wed
151,388,Wed
332,822,Wed
330,25,Wed
81,719,Mon
271,174,Thur
270,60,Mon
196,658,Fri
404,798,Mon
115,180,Fri
174,337,Thur
53,815,Tues
146,866,Mon
63,375,Thur
455,228,Thur
130,419,Fri
337,643,Fri
129,246,Wed
285,110,Wed
166,479,Thur
282,834,Thur
333,662,Wed
303,331,Fri
303,224,Mon
182,541,Mon
166,743,Mon
148,351,Thur
539,639,Fri
64,825,Mon
87,429,Fri
408,17,Wed
52,363,Mon
39,612,Thur
134,86,Wed
129,180,Wed
304,803,Tues
135,586,Tues
54,238,Mon
138,222,Tues
212,192,Fri
42,580,Wed
151,528,Thur
226,451,Tues
130,127,Mon
90,380,Fri
135,441,Fri
117,408,Mon
82,304,Mon
101,891,Wed
196,665,Fri
114,674,Fri
47,286,Thur
190,883,Mon
109,673,Fri
277,243,Tues
399,618,Mon
223,192,Fri
220,454,Tues
532,743,Fri
88,312,Fri
454,299,Tues
563,889,Fri
138,53,Fri
182,178,Mon
210,645,Thur
145,722,Mon
108,882,Fri
343,480,Thur
565,315,Thur
123,584,Tues
574,104,Thur
167,432,Mon
131,771,Fri
185,276,Fri
52,824,Tues
217,602,Wed
130,510,Tues
412,674,Thur
409,667,Mon
157,249,Tues
213,260,Mon
435,48,Fri
60,362,Mon
97,110,Fri
121,600,Thur
107,596,Wed
507,880,Thur
59,436,Fri
159,833,Wed
54,376,Fri
165,191,Wed
43,452,Wed
304,416,Thur
118,244,Tues
154,622,Tues
166,492,Wed
176,759,Mon
47,369,Tues
124,603,Wed
508,626,Thur
166,714,Thur
323,888,Wed
410,372,Wed
74,204,Thur
517,471,Thur
74,680,Mon
201,63,Mon
31,792,Mon
182,216,Tues
121,890,Thur
202,352,Thur
374,29,Fri
67,446,Tues
394,219,Thur
95,540,Tues
498,146,Mon
67,255,Mon
102,84,Tues
103,17,Tues
293,430,Wed
137,51,Fri
153,723,Tues
183,5,Mon
499,256,Fri
327,572,Fri
360,849,Fri
244,418,Thur
166,588,Thur
415,297,Tues
83,605,Fri
137,804,Thur
37,793,Thur
135,194,Tues
123,663,Tues
591,204,Fri
89,210,Mon
486,238,Fri
46,414,Wed
245,742,Tues
376,57,Tues
166,421,Thur
124,533,Tues
131,86,Thur
276,56,Fri
155,619,Mon
244,685,Mon
362,472,Fri
118,357,Mon
475,474,Thur
141,793,Mon
294,741,Fri
85,61,Thur
129,421,Fri
339,30,Wed
84,378,Thur
499,173,Fri
197,272,Fri
347,787,Tues
202,721,Mon
342,66,Mon
163,379,Tues
34,405,Thur
154,892,Tues
230,506,Tues
129,383,Thur
139,776,Wed
74,513,Tues
497,10,Mon
83,242,Wed
91,704,Mon
146,676,Mon
125,262,Tues
465,483,Tues
61,191,Wed
164,723,Mon
390,759,Wed
160,145,Fri
35,618,Thur
283,823,Thur
145,53,Fri
207,773,Wed
202,121,Wed
142,570,Fri
71,235,Tues
379,178,Fri
420,87,Wed
150,266,Fri
166,173,Wed
432,700,Tues
333,571,Fri
565,7,Tues
141,219,Tues
126,548,Fri
517,526,Thur
509,785,Tues
409,408,Tues
416,228,Wed
166,14,Fri
126,104,Mon
74,726,Fri
316,564,Mon
156,365,Wed
201,599,Thur
316,323,Wed
406,524,Wed
116,428,Wed
161,563,Fri
63,522,Tues
131,757,Tues
144,419,Mon
148,172,Thur
168,21,Mon
52,209,Thur
141,843,Mon
129,543,Wed
75,44,Thur
301,536,Thur
207,245,Thur
120,585,Mon
333,127,Tues
119,850,Tues
143,197,Thur
47,754,Tues
106,591,Wed
216,44,Mon
104,530,Thur
119,318,Mon
161,540,Wed
60,814,Mon
148,27,Fri
438,615,Thur
186,394,Wed
56,730,Thur
147,716,Fri
125,831,Fri
107,891,Fri
328,464,Fri
232,852,Mon
88,866,Thur
123,864,Thur
145,495,Fri
127,818,Mon
489,337,Wed
228,156,Mon
340,752,Mon
36,753,Wed
100,781,Mon
502,680,Mon
116,808,Wed
389,168,Tues
447,448,Wed
192,549,Wed
