c,p
0.36,1039.5
0.52,2166.5
0.56,2024.4
0.6,3003.7
1.04,7399.7
1,9835.7
0.21,643.3
0.82,4950.4
1,6539.4
1,6636
0.6,2747.5
0.82,3463.6
1.01,6407.1
0.3,1106
1.01,5722.5
0.37,994
1,7411.6
0.25,804.3
0.53,2384.9
0.56,2241.4
0.34,888.3
0.75,5157.6
0.3,1057
0.73,3733.1
0.53,2436
1,6345.5
0.58,2946.3
0.19,735
1,7499.1
0.73,3521
1.02,6271.3
0.56,2566.9
1,6927.2
0.62,2530.5
1,7993.3
0.64,3331.3
0.8,4833.5
0.51,2496.9
0.56,2429
0.31,1148.7
0.57,2390.5
1,7411.6
1.01,6211.1
0.57,2555.7
0.81,4891.6
0.28,839.3
0.19,589.4
0.73,2954.7
0.55,2523.5
0.73,4016.6
0.32,1023.4
0.85,4763.5
0.7,3857
0.18,562.1
0.72,3963.4
1.02,7260.4
0.71,4460.4
0.76,4266.5
