x,y
15.06,895.45
3.51,1079.6
1.06,1250.11
19.45,782.8
2.19,974.46
-17.67,1169.18
-13.25,1102.2
19.24,771.09
-0.36,966.74
-15.93,1109.49
-19.05,1216.59
-17.69,1026.29
-18.79,1292.52
-16.54,1185.58
9.46,843.37
10.12,979.45
-9.45,1019.09
-0.46,953.92
-7,1080.21
14.42,1000.93
5.08,1032.58
-5.24,1161.14
-9.38,830.66
17.38,865.39
-5.15,1023.66
-17.06,1179.65
16.95,906.13
8.85,940.91
10.25,1036.61
-17.99,1279.87
-8.08,1024.69
19.5,801.2
-13.13,1166.99
-19.32,1177.15
18.22,1026.75
-4.61,953.84
-16.07,1073.24
11.5,1076.01
-10.88,806
3.14,1029.65
10.72,1036.73
-12.36,1136.6
6.75,996.65
8.72,947.4
16.24,797.04
-18.45,1316.17
9.38,1037.33
7.42,879.19
2.71,949.4
-17.47,1037.68
2.63,1030.53
12.41,954.86
0.52,1146.79
15.56,1025
-8.89,1034.95
11.67,1071.51
16.99,900.89
1.16,1089.87
-12.19,1051.36
-14.67,1157.38
13.46,962.8
10.78,819.6
-8.99,1100.63
12.02,853.37
-9.24,1009.84
-0.06,1011.98
-8.03,1171.94
-10.57,1060.66
-12.96,995
-9.98,1207.94
2.15,1092.71
-0.65,1041.22
15.44,956.9
16.09,1071
7.19,1153.61
-11.57,1124.63
5.63,944.48
-19.64,1217.67
-13.69,1058.02
-17.7,1184.67
-8.52,1282.44
4.81,828.59
12.97,849.96
19.26,952.97
15.75,808
4.9,1083.42
0.39,935.47
-2.8,974.3
-10.78,823.41
-14.55,1079.64
-0.06,1007.87
2.91,897.98
6.53,836.45
-1.67,1031.31
17.42,959.72
-6.69,1027.58
15.11,997.48
6.99,929.67
16.28,916.55
14.95,976.16
3.26,1081.45
13.68,939.26
10.06,894.78
16.33,885.69
6.19,979.27
-17.24,1137.36
-4.76,939.36
16.39,776.74
0.73,1172.03
-13.17,1129.46
-18.95,1202.78
5.66,1120.18
18.77,979.79
17.99,751.01
7.67,1017.04
13.76,888.83
-12.27,1112.79
11.69,953.13
-13.95,1100.95
7.34,1003.55
10.94,1054.65
-1.97,1043.52
-15.88,1228.89
11.97,949.41
3.52,883.73
15.21,1107.12
-15.31,1137.84
-11.65,1098.88
-14.58,1132.23
-1.24,835.13
3.75,942.76
-6.12,908.98
14.27,901.12
16.54,826.12
-15.28,1075.2
-10.28,979.9
16.66,909.4
2.12,992.45
8.56,1000.46
15.79,966.46
-16.22,1019.27
5.75,949.02
5.6,832.56
-7.76,1036.51
-0.46,1041.3
19.78,784.14
-13.33,1190.15
-14.63,1134.82
10.97,919.9
-0.07,1145.2
-5.15,908.32
-0.79,889.84
-18.69,1207.86
19.72,697.69
-8.22,820.16
-6.55,1150.32
-2.66,1125.34
14.18,799.24
7.45,1102.59
-11.79,1141.19
-5.94,1028.73
6.48,849.22
-12.87,1017.23
2.44,1062.19
-12.74,1146.65
5.74,966.97
-11.76,1164.58
-4.2,917.53
9.88,916.35
-7.05,1173.95
-15.17,1025.01
-6.67,845
-19.7,1192.2
-18.25,1167.68
-12.14,989.2
0.97,1089.68
-1.5,1023.99
2.77,1089.57
10.91,856.85
-15.9,1212.15
3.6,1045.1
-9.38,1009.34
17.55,950.1
6.27,970.27
16.17,871.34
7.8,794.4
-1.63,878.11
-9.02,999.73
6.34,897.59
-1.61,881.68
-17.37,1035.87
-15.49,1036.59
0.91,949.54
16.1,1001.25
3.4,936.12
15.66,798.09
10.51,1041.22
-9.88,1077.53
11.76,951.47
-8.55,815.81
