x,y
56.7,7511
28.1,5171
50.2,4672
25.2,2838
58.8,8211
56.7,7996
39.9,4597
6.3,3909
9.5,2484
52.1,6415
36.9,4543
18.7,4317
36.9,4235
42.2,4577
36.8,3400
16.2,4439
46.7,6228
14.5,2610
56.1,7624
28.4,2456
39.2,5259
17.3,4365
27,4441
46.4,5451
12.2,2827
49.9,6727
54,5763
52.8,5930
48.7,6599
41.8,5587
24.1,3761
8,3631
26.3,4608
20.6,3150
35.7,4976
48.3,5221
7.3,3432
55,6156
10.4,2953
42.6,4964
50.9,5823
43.7,5928
38.7,4655
17.2,2219
23.2,2746
59,10463
11.4,2105
28.2,3047
44.4,5535
23.9,3117
43.9,4714
36.2,3253
50.8,6634
48.8,5488
15.7,1764
32.2,4096
59,9290
44.1,6380
40.9,5076
57.1,9116
31.2,3705
31,3886
36.6,3996
58.5,9052
26.9,3990
22.1,3417
8,3249
31.7,4834
42.3,4521
19.5,2941
57.6,9660
26.9,4279
47.5,5318
53,7615
17.3,3844
15.8,2685
30.3,4238
16,3956
21.1,4385
5,3062
10.4,3660
46.2,7112
51.2,5394
42,4038
20.7,3342
55.9,8638
27.3,3451
13.3,3120
8,3791
53.4,6815
36.3,5779
34.2,4934
54.5,7943
48.1,5559
52,6164
7,3019
39.4,5030
17.5,4913
30.4,4209
38.5,4980
37,4847
25.9,2535
12.9,3744
54.6,6589
58.5,8775
41.3,5814
40.7,4490
17.5,4378
36.3,4711
20.2,2109
18,4636
19.1,3104
49.8,6207
55.6,8269
43.8,6042
8,3556
13.1,3382
52.5,6731
25,2765
52.5,6161
7.9,3094
29.9,3831
29.2,3254
24.8,4939
40.3,5559
42,5099
55.8,8437
40.5,6206
23.9,5228
14.8,3643
30.7,4364
59.1,7842
52.7,6787
10.5,3388
12.8,4461
19.1,5201
15.6,2946
5.7,3394
24.9,3082
49.7,5961
49.1,5035
42,5045
34.7,4379
19.5,2499
39,5924
54.8,8117
59.9,8370
50.4,7145
29.4,4045
55.9,8160
9.1,1836
36.1,5301
36.6,4496
31.3,4798
51.6,4993
24,3894
15.7,3000
50.5,6621
36.4,3328
16.3,3578
50.7,7593
22.5,3287
15.7,3406
14.6,2979
10.9,3239
18,2384
48.4,7230
17.4,3046
27,3718
27.3,3524
35.3,4579
35.2,3820
26.8,2734
54.4,7357
26.7,3592
48.1,3558
46,5408
14.1,3352
40.4,4411
48.8,5590
