x,y
18.8,3603
22.7,3191
33,5459
34.1,4278
14.5,3099
60,7950
23.5,3792
20.4,5179
24.4,2004
58.8,6729
33.5,5088
59.5,8919
17.5,3309
35.2,3659
14.5,2844
27.2,3183
9.1,1095
34.8,4416
17.2,3656
34.6,4046
43.5,5504
11.7,3234
53,5946
39.7,5781
54.9,7472
34.7,5571
22.4,1707
18.9,3012
48,7511
26.8,3216
43,5478
14.5,3036
48,6524
20.1,3016
43.2,5641
41.3,4630
31.4,4316
21.7,4286
46.1,6901
23.1,4177
23.1,5276
9.9,4228
44.1,6013
41,4873
34.9,3533
29.7,4901
50.4,6049
59.4,8417
26.7,3637
37.2,5637
59.2,7431
35.5,4444
6.2,2232
35,2908
38.4,5384
12.5,1978
35.3,4904
12.8,3585
24,2324
24.1,3956
21.7,3175
44.6,4960
40.9,3093
25.9,3996
32.4,4277
39,3330
5.2,3179
50.3,6962
35.2,5560
47.1,5984
25.8,4865
42.8,5198
41.9,3835
45.3,5251
22.1,4391
13.4,2683
57.7,8714
19.8,2596
41.8,5029
38.5,4685
45.4,6389
15.4,2914
55.3,7481
45.4,7203
55.4,6956
36.1,5170
14.6,1814
49.3,4909
43.3,5331
45.5,6034
56.6,8489
33.2,3320
9.1,3503
10.3,793
47.4,4954
6.8,2099
24.8,3893
11.9,3332
49.2,4070
22.1,4311
45.5,6557
47.6,6239
6.9,3221
13.1,4327
21.4,2124
15.7,2259
50.3,8089
22.1,4210
9.6,2591
59,8815
53.1,5691
24.6,5191
28.8,4529
27.5,5289
58.8,8337
37.6,4860
5.8,1677
53.8,6758
52.2,7806
45.2,5177
23.3,2660
46.3,4992
56.1,7476
35.6,3730
13,2302
22.7,3259
35.4,4284
43.6,2857
35.6,3516
31.3,3750
39.1,4905
19,1499
34.6,4174
7.7,2607
37.1,3354
36.8,3610
45.3,5371
11.2,2172
12.8,2759
43.5,5112
47.1,5390
11.5,2830
14,3091
5.8,1985
48.6,5655
51.9,6339
9.9,3677
39.9,3907
10.3,3574
41.1,5380
21.3,2339
10.7,3262
50.1,7015
5.3,3852
55.5,6485
44.8,5297
43.4,4709
55,6830
44,5328
31,5147
55,7447
12.1,3213
52.1,6442
50.9,5932
29.5,3995
47.8,7475
17.3,2464
21.1,3397
22.2,4891
29,4481
48.2,4927
41.7,5867
53.8,6415
34.1,5039
8.7,2737
50.3,6060
16.9,4553
51.5,6413
30,2686
12.4,1784
47.7,7338
45.5,7422
43.7,4470
57.5,7262
35.8,4778
11.4,4450
46.9,6524
28.9,1946
7.9,3468
39,3578
55,7965
47.4,6837
12.3,1714
59.8,8904
43.5,5411
39.7,3590
41.9,5227
8.4,4466
52.9,5306
20,2750
39,5471
48.9,4724
33,3972
9,3264
26.8,3665
55.9,8481
57.2,7717
41.4,6287
41.2,5329
53,7713
27.2,3862
57.1,8465
28.6,4749
47.6,5757
36.1,3872
57.6,5753
34.2,3750
45.5,4875
28.7,3832
21.1,4075
