X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0
4,3,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4,0
4,4,aug,wed,95.1,141.3,605.8,17.7,28.7,33,4,0
4,5,feb,sat,84.7,8.2,55,2.9,14.2,46,4,0
9,4,jul,mon,92.3,92.1,442.1,9.8,22.8,27,4.5,0
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0
8,5,aug,wed,93.1,157.3,666.7,13.5,26.8,25,3.1,0
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0
6,3,apr,sun,91,14.6,25.6,12.3,13.7,33,9.4,0
6,5,sep,thu,92.8,119,783.5,7.5,21.6,27,2.2,0
6,5,mar,thu,84.9,18.2,55,3,5.3,70,4.5,0
4,3,sep,sun,90.5,96.7,750.5,11.4,20.4,55,4.9,0
8,6,sep,mon,91.6,108.4,764,6.2,22.7,35,2.2,0
8,6,aug,mon,91.5,145.4,608.2,10.7,8,86,2.2,0
3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0
1,2,aug,tue,94.8,108.3,647.1,17,18.6,51,4.5,0
6,5,aug,sun,92,203.2,664.5,8.1,19.1,70,2.2,0
7,4,oct,fri,90,41.5,682.6,8.7,11.3,60,5.4,0
2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0
6,5,jun,sat,53.4,71,233.8,0.4,10.6,90,2.7,0
7,5,oct,mon,91.7,48.5,696.1,11.1,16.1,44,4,0
4,6,mar,mon,87.2,23.9,64.7,4.1,14,39,3.1,0
3,4,jul,wed,91.9,133.6,520.5,8,14.2,58,4,0
1,5,sep,tue,91,129.5,692.6,7,21.6,33,2.2,0
8,6,sep,tue,91,129.5,692.6,7,13.1,63,5.4,0
6,5,sep,sat,91.2,94.3,744.4,8.4,15.4,57,4.9,0
4,4,sep,fri,92.1,99,745.3,9.6,20.8,35,4.9,0
1,2,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0
2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0
5,4,sep,sat,92.2,102.3,751.5,8.4,24.1,27,3.1,0
9,9,jul,tue,85.8,48.3,313.4,3.9,18,42,2.7,0
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0
3,4,aug,wed,93.1,157.3,666.7,13.5,21.7,40,0.4,0
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0
6,5,aug,fri,91,166.9,752.6,7.1,18.2,62,5.4,0
3,4,aug,fri,91.6,112.4,573,8.9,11.2,84,7.6,0
3,4,mar,fri,91.7,33.3,77.5,9,18.8,18,4.5,0
5,4,sep,thu,92.8,119,783.5,7.5,21.6,28,6.3,0
8,6,sep,mon,91.5,130.1,807.1,7.5,15.9,51,4.5,0
1,3,mar,mon,87.6,52.2,103.8,5,8.3,72,3.1,0
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0
4,5,sep,tue,91.1,132.3,812.1,12.5,16.4,27,3.6,0
3,4,aug,thu,91.6,248.4,753.8,6.3,16.8,56,3.1,0
4,4,sep,fri,92.1,99,745.3,9.6,15.4,53,6.3,0
4,3,sep,thu,92.9,137,706.4,9.2,27.7,24,2.2,0
4,4,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0
4,5,mar,fri,91.7,33.3,77.5,9,17.2,26,4.5,0
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0
6,6,jul,mon,94.2,62.3,442.9,11,23,36,3.1,0
6,5,sep,wed,92.6,115.4,777.1,8.8,24.3,27,4.9,0
2,2,aug,tue,94.8,108.3,647.1,17,17.4,43,6.7,0
4,5,jul,fri,91.6,100.2,466.3,6.3,22.9,40,1.3,0
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0
3,5,mar,mon,87.6,52.2,103.8,5,9,49,2.2,0
4,4,sep,wed,92.6,115.4,777.1,8.8,19.7,41,1.8,0
7,5,apr,sun,81.9,3,7.9,3.5,13.4,75,1.8,0
6,5,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0
7,4,sep,fri,92.1,99,745.3,9.6,20.6,43,3.6,0
6,3,sep,mon,91.6,108.4,764,6.2,23,34,2.2,0
8,6,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0
7,4,oct,tue,90.6,35.4,669.1,6.7,18,33,0.9,0
1,5,sep,sun,93.5,149.3,728.6,8.1,27.8,27,3.1,0
7,4,feb,sun,83.9,8.7,32.1,2.1,8.8,68,2.2,0
2,5,aug,sat,93.7,231.1,715.1,8.4,23.6,53,4,0
6,5,sep,sat,91.2,94.3,744.4,8.4,16.8,47,4.9,0
7,4,oct,mon,91.7,48.5,696.1,11.1,16.8,45,4.5,0
8,6,aug,sat,92.2,81.8,480.8,11.9,20.1,34,4.5,0
3,4,aug,sat,91.8,170.9,692.3,13.7,20.6,59,0.9,0
6,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0
1,3,aug,thu,94.8,222.4,698.6,13.9,26.2,34,5.8,0
7,5,sep,sat,92.5,88,698.6,7.1,22.8,40,4,0
6,3,sep,mon,91.5,130.1,807.1,7.5,20.6,37,1.8,0
8,6,aug,fri,90.1,108,529.8,12.5,21.2,51,8.9,0
4,3,sep,fri,92.5,122,789.7,10.2,17.3,45,4,0
6,3,sep,mon,91.5,130.1,807.1,7.5,12.2,66,4.9,0
2,4,aug,sun,92,203.2,664.5,8.1,24.9,42,5.4,0
1,2,aug,fri,91,166.9,752.6,7.1,18.5,73,8.5,0
8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0
7,4,sep,sun,92.4,105.8,758.1,9.9,25.3,27,2.7,0
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0
3,4,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0
2,2,aug,tue,94.8,108.3,647.1,17,24.6,22,4.5,0
